"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State","Region","Starting Median Salary","Mid-Career Median Salary","Mid-Career 10th Percentile Salary","Mid-Career 25th Percentile Salary","Mid-Career 75th Percentile Salary","Mid-Career 90th Percentile Salary"
"brescia university",21850,21850,"private",1272,"moderately difficult",0.47,"4438","owensboro","KY",NA,NA,NA,NA,NA,NA,NA
"bryan college",25600,25600,"private",1422,"moderately difficult",0.42,"1041","dayton","TN",NA,NA,NA,NA,NA,NA,NA
"new york school of interior design",29250,29250,"private",381,"moderately difficult",0.42,"155","new york","NY",NA,NA,NA,NA,NA,NA,NA
"university of new hampshire manchester",14850,29420,"public",762,"moderately difficult",0.73,"205","manchester","NH",NA,NA,NA,NA,NA,NA,NA
"southeastern baptist theological seminary",10500,10500,"private",414,"noncompetitive",0.76,"46","wake forest","NC",NA,NA,NA,NA,NA,NA,NA
"mt. sierra college",15688,15688,"private for profit",511,"moderately difficult",NA,NA,"monrovia","CA",NA,NA,NA,NA,NA,NA,NA
"culinary institute of america",31616,31616,"private",2774,"moderately difficult",0.94,"1045","hyde park","NY",NA,NA,NA,NA,NA,NA,NA
"paier college of art",17070,17070,"private for profit",128,NA,NA,NA,"hamden","CT",NA,NA,NA,NA,NA,NA,NA
"schiller international university",NA,NA,"private for profit",191,"minimally difficult",NA,NA,"largo","FL",NA,NA,NA,NA,NA,NA,NA
"brevard college",28850,28850,"private",705,"minimally difficult",0.43,"2858","brevard","NC",NA,NA,NA,NA,NA,NA,NA
"florida college",17142,17142,"private",533,"moderately difficult",0.79,"284","temple terrace","FL",NA,NA,NA,NA,NA,NA,NA
"south university savannah",NA,NA,"private for profit",NA,NA,NA,NA,"savannah","GA",NA,NA,NA,NA,NA,NA,NA
"charles r. drew university of medicine & science",17440,17440,"private",230,"moderately difficult",0.21,"872","los angeles","CA",NA,NA,NA,NA,NA,NA,NA
"florida gulf coast university",6171,25214,"public",13711,"moderately difficult",0.56,"15152","fort myers","FL",NA,NA,NA,NA,NA,NA,NA
"fairleigh dickinson university college florham",41780,41780,"private",2513,"moderately difficult",0.79,"4179","madison","NJ",NA,NA,NA,NA,NA,NA,NA
"coleman university",20725,20725,"private",477,"moderately difficult",1,"12","san diego","CA",NA,NA,NA,NA,NA,NA,NA
"university of advancing technology",23150,23150,"private for profit",1013,NA,NA,NA,"tempe","AZ",NA,NA,NA,NA,NA,NA,NA
"university of the potomac",NA,NA,"private for profit",165,"noncompetitive",NA,NA,"washington","DC",NA,NA,NA,NA,NA,NA,NA
"platt college",NA,NA,"private for profit",134,"noncompetitive",NA,NA,"aurora","CO",NA,NA,NA,NA,NA,NA,NA
"art institute of california san diego",NA,NA,"private for profit",NA,NA,NA,NA,"san diego","CA",NA,NA,NA,NA,NA,NA,NA
"laguna college of art + design",29800,29800,"private",567,"very difficult",0.39,"472","laguna beach","CA",NA,NA,NA,NA,NA,NA,NA
"columbia college hollywood",21789,21789,"private",359,"minimally difficult",0.57,"196","tarzana","CA",NA,NA,NA,NA,NA,NA,NA
"art institute of california san francisco",NA,NA,"private for profit",NA,NA,NA,NA,"san francisco","CA",NA,NA,NA,NA,NA,NA,NA
"newschool of architecture & design",26463,26463,"private for profit",408,"moderately difficult",0.79,"39","san diego","CA",NA,NA,NA,NA,NA,NA,NA
"pacific states university",16005,16005,"private",19,"noncompetitive",NA,NA,"los angeles","CA",NA,NA,NA,NA,NA,NA,NA
"rocky mountain college of art & design",15870,15870,"private for profit",1079,"moderately difficult",NA,NA,"lakewood","CO",NA,NA,NA,NA,NA,NA,NA
"hodges university",17300,17300,"private",1487,"minimally difficult",NA,NA,"naples","FL",NA,NA,NA,NA,NA,NA,NA
"trinity college of florida",16640,16640,"private",202,"noncompetitive",0.71,"75","trinity","FL",NA,NA,NA,NA,NA,NA,NA
"illinois institute of art chicago",NA,NA,"private for profit",NA,NA,NA,NA,"chicago","IL",NA,NA,NA,NA,NA,NA,NA
"st. john's college",22005,22005,"private",122,"moderately difficult",0.68,"90","springfield","IL",NA,NA,NA,NA,NA,NA,NA
"st. john's college",22005,22005,"private",326,"moderately difficult",0.63,"298","santa fe","NM",NA,NA,NA,NA,NA,NA,NA
"st. john's college",22005,22005,"private",434,"moderately difficult",0.53,"612","annapolis","MD",NA,NA,NA,NA,NA,NA,NA
"waldorf college",21674,21674,"private",2058,"moderately difficult",0.67,"748","forest city","IA",NA,NA,NA,NA,NA,NA,NA
"cambridge college",14940,14940,"private",1090,"noncompetitive",0.64,"107","cambridge","MA",NA,NA,NA,NA,NA,NA,NA
"newbury college",34470,34470,"private",862,"minimally difficult",0.7,"3162","brookline","MA",NA,NA,NA,NA,NA,NA,NA
"finlandia university",22758,22758,"private",545,"minimally difficult",0.67,"646","hancock","MI",NA,NA,NA,NA,NA,NA,NA
"thomas more college of liberal arts",21000,21000,"private",99,"moderately difficult",0.7,"100","merrimack","NH",NA,NA,NA,NA,NA,NA,NA
"st. gregory's university",22050,22050,"private",636,"minimally difficult",0.85,"184","shawnee","OK",NA,NA,NA,NA,NA,NA,NA
"utah valley university",5652,16066,"public",34706,"noncompetitive",1,"10339","orem","UT","Western",42400,67100,NA,44100,84900,NA
"vermont technical college",14690,27002,"public",1625,"moderately difficult",0.7,"584","randolph center","VT",NA,NA,NA,NA,NA,NA,NA
"northwest college of art & design",19075,19075,"private for profit",114,NA,NA,NA,"poulsbo","WA",NA,NA,NA,NA,NA,NA,NA
"northwestern polytechnic university",10700,10700,"private",164,NA,1,"249","fremont","CA",NA,NA,NA,NA,NA,NA,NA
"devry university new york",17512,17512,"private for profit",915,"minimally difficult",NA,NA,"new york","NY",NA,NA,NA,NA,NA,NA,NA
"sterling college",38038,38038,"private",119,NA,NA,NA,"craftsbury common","VT",NA,NA,NA,NA,NA,NA,NA
"sterling college",38038,38038,"private",650,"minimally difficult",0.37,"1033","sterling","KS",NA,NA,NA,NA,NA,NA,NA
"penn state abington",14516,22558,"public",3950,"very difficult",0.82,"3794","abington","PA",NA,NA,NA,NA,NA,NA,NA
"international fine arts college",22105,22105,"private for profit",NA,NA,NA,NA,"miami","FL",NA,NA,NA,NA,NA,NA,NA
"illinois institute of art schaumburg",NA,NA,"private for profit",NA,NA,NA,NA,"schaumburg","IL",NA,NA,NA,NA,NA,NA,NA
"shasta bible college",13040,13040,"private",44,"noncompetitive",0.83,"18","redding","CA",NA,NA,NA,NA,NA,NA,NA
"beulah heights university",9830,9830,"private",454,"noncompetitive",NA,NA,"atlanta","GA",NA,NA,NA,NA,NA,NA,NA
"everest university",NA,NA,NA,3386,"minimally difficult",0.74,"2225","tampa","FL","Southern",36600,51000,32800,36800,70400,102000
"devry university north brunswick",17512,17512,"private for profit",583,"minimally difficult",NA,NA,"north brunswick","NJ",NA,NA,NA,NA,NA,NA,NA
"art institute of pittsburgh",23376,23376,"private for profit",NA,NA,NA,NA,"pittsburgh","PA",NA,NA,NA,NA,NA,NA,NA
"dixie state college",5080,14548,"public",8993,"noncompetitive",1,"15486","st george","UT",NA,NA,NA,NA,NA,NA,NA
"johnson & wales university",31508,31508,"private",8718,"moderately difficult",0.82,"11971","providence","RI",NA,NA,NA,NA,NA,NA,NA
"johnson & wales university",31508,31508,"private",1356,"moderately difficult",0.81,"2319","denver","CO",NA,NA,NA,NA,NA,NA,NA
"johnson & wales university",31508,31508,"private",1752,"moderately difficult",0.76,"4049","north miami","FL",NA,NA,NA,NA,NA,NA,NA
"penn state schuylkill",14398,22316,"public",759,"moderately difficult",0.76,"631","schuylkill haven","PA",NA,NA,NA,NA,NA,NA,NA
"penn state lehigh valley",14460,22378,"public",868,"moderately difficult",0.87,"966","center valley","PA",NA,NA,NA,NA,NA,NA,NA
"penn state berks",15190,23692,"public",2888,"very difficult",0.87,"2164","reading","PA",NA,NA,NA,NA,NA,NA,NA
"devry university orlando",17512,17512,"private for profit",534,"minimally difficult",NA,NA,"orlando","FL",NA,NA,NA,NA,NA,NA,NA
"penn state altoona",15190,23692,"public",3491,"very difficult",0.89,"5120","altoona","PA",NA,NA,NA,NA,NA,NA,NA
"peirce college",18660,18660,"private",1491,"noncompetitive",NA,NA,"philadelphia","PA",NA,NA,NA,NA,NA,NA,NA
"art institute of california orange county",NA,NA,"private for profit",NA,NA,NA,NA,"santa ana","CA",NA,NA,NA,NA,NA,NA,NA
"art institute of washington",23328,23328,"private for profit",NA,NA,NA,NA,"arlington","VA",NA,NA,NA,NA,NA,NA,NA
"mitchell college",32442,32442,"private",723,"minimally difficult",0.74,"787","new london","CT",NA,NA,NA,NA,NA,NA,NA
"stevens-henager college ogden",NA,NA,"private for profit",364,"noncompetitive",NA,NA,"west haven","UT",NA,NA,NA,NA,NA,NA,NA
"bethany lutheran college",26830,26830,"private",587,"moderately difficult",0.8,"328","mankato","MN",NA,NA,NA,NA,NA,NA,NA
"paul smith's college",27621,27621,"private",875,"minimally difficult",0.73,"1103","paul smiths","NY",NA,NA,NA,NA,NA,NA,NA
"university of arkansas fort smith",6935,15776,"public",6823,"minimally difficult",0.56,"4001","fort smith","AR",NA,NA,NA,NA,NA,NA,NA
"devry university crystal city",17512,17512,"private for profit",252,"minimally difficult",NA,NA,"arlington","VA",NA,NA,NA,NA,NA,NA,NA
"cabarrus college of health sciences",13416,13416,"private",443,"moderately difficult",1,"28","concord","NC",NA,NA,NA,NA,NA,NA,NA
"muhlenberg college",50830,50830,"private",2408,"very difficult",0.48,"4862","allentown","PA",NA,NA,NA,NA,NA,NA,NA
"california state university sacramento",7204,19084,"public",27876,"moderately difficult",0.72,"23944","sacramento","CA","California",47800,82400,42900,59600,111000,154000
"nazareth college",34724,34724,"private",2159,"moderately difficult",0.72,"4118","rochester","NY",NA,NA,NA,NA,NA,NA,NA
"neumann university",30050,30050,"private",2278,"minimally difficult",0.94,"1486","aston","PA",NA,NA,NA,NA,NA,NA,NA
"bellevue university",9340,9340,"private",6828,"noncompetitive",NA,NA,"bellevue","NE",NA,NA,NA,NA,NA,NA,NA
"misericordia university",31660,31660,"private",2195,"moderately difficult",0.74,"1823","dallas","PA",NA,NA,NA,NA,NA,NA,NA
"new england college",36954,36954,"private",1756,"minimally difficult",0.99,"4204","henniker","NH",NA,NA,NA,NA,NA,NA,NA
"art center college of design",42008,42008,"private",1915,"very difficult",0.8,"610","pasadena","CA",NA,NA,NA,NA,NA,NA,NA
"augustana university",31960,31960,"private",1665,"moderately difficult",0.69,"1464","sioux falls","SD",NA,NA,NA,NA,NA,NA,NA
"colorado school of mines",18386,37436,"public",4612,"very difficult",0.4,"12284","golden","CO","Western",58100,106000,62200,87900,142000,201000
"university of california santa barbara",14409,42423,"public",21574,"very difficult",0.36,"77098","santa barbara","CA","California",50500,95000,51300,71200,129000,173000
"chaminade university of honolulu",24114,24114,"private",1183,"moderately difficult",0.91,"842","honolulu","HI",NA,NA,NA,NA,NA,NA,NA
"university of alaska anchorage",7374,22764,"public",16463,"noncompetitive",0.8,"3533","anchorage","AK","Western",45900,72600,39800,56600,99300,137000
"concordia university nebraska",31000,31000,"private",1794,"moderately difficult",0.73,"1396","seward","NE",NA,NA,NA,NA,NA,NA,NA
"east central university",6719,15839,"public",3455,"minimally difficult",0.58,"1423","ada","OK",NA,NA,NA,NA,NA,NA,NA
"alaska pacific university",20830,20830,"private",294,"minimally difficult",0.55,"474","anchorage","AK",NA,NA,NA,NA,NA,NA,NA
"montana state university billings",5833,18598,"public",3972,"minimally difficult",1,"1478","billings","MT","Western",37900,50600,NA,31800,78500,NA
"eastern new mexico university",5918,11693,"public",4600,"noncompetitive",0.63,"2217","portales","NM",NA,NA,NA,NA,NA,NA,NA
"university of great falls",25050,25050,"private",881,"noncompetitive",0.76,"805","great falls","MT",NA,NA,NA,NA,NA,NA,NA
"eastern oregon university",8362,19682,"public",2873,"minimally difficult",0.97,"1043","la grande","OR",NA,NA,NA,NA,NA,NA,NA
"fort lewis college",8609,18761,"public",3556,"moderately difficult",0.92,"4164","durango","CO","Western",42000,69800,NA,55000,94000,NA
"jamestown college",21158,21158,"private",955,"minimally difficult",0.57,"1560","jamestown","ND",NA,NA,NA,NA,NA,NA,NA
"university of colorado colorado springs",10201,24181,"public",10414,"moderately difficult",0.93,"9664","colorado springs","CO",NA,NA,NA,NA,NA,NA,NA
"embry-riddle aeronautical university prescott",35916,35916,"private",2377,"moderately difficult",0.76,"2130","prescott","AZ",NA,NA,NA,NA,NA,NA,NA
"university of california davis",14382,42396,"public",29546,"very difficult",0.42,"67472","davis","CA","California",52300,99600,52000,71600,135000,202000
"montana state university",7223,23927,"public",14400,"moderately difficult",0.83,"15996","bozeman","MT","Western",46600,77500,40200,58100,111000,151000
"hawaii pacific university",24500,24500,"private",3436,"moderately difficult",0.75,"5452","honolulu","HI",NA,NA,NA,NA,NA,NA,NA
"midland university",31630,31630,"private",827,"moderately difficult",0.88,"920","fremont","NE",NA,NA,NA,NA,NA,NA,NA
"california state university east bay",6834,18714,"public",13340,"moderately difficult",0.7,"15670","hayward","CA","California",49200,84300,46000,62400,115000,155000
"university of mary hardin-baylor",27700,27700,"private",3278,"moderately difficult",0.79,"8954","belton","TX",NA,NA,NA,NA,NA,NA,NA
"california maritime academy",7060,18940,"public",1107,"moderately difficult",0.68,"1217","vallejo","CA",NA,NA,NA,NA,NA,NA,NA
"grand canyon university",17170,17170,"private for profit",NA,"moderately difficult",NA,NA,"phoenix","AZ",NA,NA,NA,NA,NA,NA,NA
"caldwell university",33900,33900,"private",1633,"moderately difficult",0.85,"2831","caldwell","NJ",NA,NA,NA,NA,NA,NA,NA
"abilene christian university",33330,33330,"private",3758,"moderately difficult",0.51,"10252","abilene","TX",NA,NA,NA,NA,NA,NA,NA
"creighton university",38750,38750,"private",4203,"moderately difficult",0.71,"10352","omaha","NE",NA,NA,NA,NA,NA,NA,NA
"chapman university",50594,50594,"private",6410,"very difficult",0.54,"12821","orange","CA",NA,NA,NA,NA,NA,NA,NA
"azusa pacific university",37506,37506,"private",5770,"moderately difficult",0.84,"6605","azusa","CA",NA,NA,NA,NA,NA,NA,NA
"humboldt state university",7494,19374,"public",7968,"moderately difficult",0.76,"12967","arcata","CA","California",42600,71300,36000,56300,94400,117000
"bethany college",27472,27472,"private",710,"moderately difficult",0.7,"1168","bethany","WV",NA,NA,NA,NA,NA,NA,NA
"bethany college",27472,27472,"private",665,"moderately difficult",0.59,"1139","lindsborg","KS",NA,NA,NA,NA,NA,NA,NA
"texas a&m international university",8320,20704,"public",6591,"moderately difficult",0.54,"6306","laredo","TX",NA,NA,NA,NA,NA,NA,NA
"cal poly san luis obispo",9432,21312,"public",20426,"moderately difficult",0.29,"48162","san luis obispo","CA","California",57200,101000,55000,74700,133000,178000
"newman university",29360,29360,"private",2535,"minimally difficult",0.58,"1331","wichita","KS",NA,NA,NA,NA,NA,NA,NA
"college of idaho",28755,28755,"private",962,"moderately difficult",0.85,"975","caldwell","ID",NA,NA,NA,NA,NA,NA,NA
"colorado college",52818,52818,"private",2101,"very difficult",0.16,"7894","colorado springs","CO","Western",38500,81400,NA,43000,148000,NA
"colorado technical university",NA,NA,"private for profit",1896,"minimally difficult",NA,NA,"colorado springs","CO",NA,NA,NA,NA,NA,NA,NA
"dakota wesleyan university",27000,27000,"private",759,"moderately difficult",0.73,"659","mitchell","SD",NA,NA,NA,NA,NA,NA,NA
"marylhurst university",20835,20835,"private",398,"noncompetitive",1,"2","marylhurst","OR",NA,NA,NA,NA,NA,NA,NA
"university of nevada reno",7538,21726,"public",18191,"moderately difficult",0.83,"9644","reno","NV","Western",46500,82900,41900,54600,113000,143000
"mount marty college",26310,26310,"private",1006,"minimally difficult",0.65,"473","yankton","SD",NA,NA,NA,NA,NA,NA,NA
"mcmurry university",26712,26712,"private",1073,"moderately difficult",0.48,"1884","abilene","TX",NA,NA,NA,NA,NA,NA,NA
"willamette university",48158,48158,"private",2002,"very difficult",0.78,"6181","salem","OR",NA,NA,NA,NA,NA,NA,NA
"austin college",38825,38825,"private",1278,"very difficult",0.53,"3352","sherman","TX",NA,NA,NA,NA,NA,NA,NA
"university of texas of the permian basin",7124,19574,"public",5663,"moderately difficult",0.81,"1307","odessa","TX",NA,NA,NA,NA,NA,NA,NA
"biola university",38448,38448,"private",4091,"moderately difficult",0.69,"3941","la mirada","CA",NA,NA,NA,NA,NA,NA,NA
"texas a&m university corpus christi",9269,21567,"public",10212,"moderately difficult",0.86,"9002","corpus christi","TX",NA,NA,NA,NA,NA,NA,NA
"chadron state college",7031,7061,"public",2199,"noncompetitive",NA,NA,"chadron","NE",NA,NA,NA,NA,NA,NA,NA
"western oregon university",9855,25638,"public",4833,"moderately difficult",0.88,"2901","monmouth","OR",NA,NA,NA,NA,NA,NA,NA
"montana tech of the university of montana",7139,21969,"public",2594,"moderately difficult",0.89,"894","butte","MT",NA,NA,NA,NA,NA,NA,NA
"union college",23070,23070,"private",2203,"very difficult",0.37,"6648","schenectady","NY","Northeastern",47200,95800,48700,75200,135000,230000
"union college",23070,23070,"private",805,"moderately difficult",0.64,"1811","lincoln","NE","Northeastern",47200,95800,48700,75200,135000,230000
"union college",23070,23070,"private",975,"moderately difficult",0.67,"1344","barbourville","KY","Northeastern",47200,95800,48700,75200,135000,230000
"university of idaho",7488,23812,"public",9586,"moderately difficult",0.76,"5953","moscow","ID","Western",44900,82000,43000,56700,104000,142000
"menlo college",41350,41350,"private",777,"moderately difficult",0.41,"2195","atherton","CA",NA,NA,NA,NA,NA,NA,NA
"texas christian university",44760,44760,"private",8891,"very difficult",0.38,"19972","fort worth","TX","Southern",45100,78100,42600,56600,122000,183000
"northwest christian university",28680,28680,"private",566,"minimally difficult",0.67,"427","eugene","OR",NA,NA,NA,NA,NA,NA,NA
"concordia university portland",30020,30020,"private",1369,"moderately difficult",0.54,"1961","portland","OR",NA,NA,NA,NA,NA,NA,NA
"whitworth university",42186,42186,"private",2308,"moderately difficult",0.89,"3262","spokane","WA",NA,NA,NA,NA,NA,NA,NA
"evergreen state college",7591,25051,"public",3787,"moderately difficult",0.97,"1901","olympia","WA","Western",39500,63900,38800,47200,91600,120000
"university of denver",48669,48669,"private",5754,"moderately difficult",0.53,"20322","denver","CO",NA,NA,NA,NA,NA,NA,NA
"regis university",34450,34450,"private",4070,"moderately difficult",0.57,"6756","denver","CO","Western",48300,73800,41000,55500,94800,117000
"rocky mountain college",27566,27566,"private",908,"moderately difficult",0.62,"1545","billings","MT",NA,NA,NA,NA,NA,NA,NA
"southeastern oklahoma state university",6750,15390,"public",3132,"moderately difficult",0.77,"1107","durant","OK",NA,NA,NA,NA,NA,NA,NA
"devry university phoenix",17512,17512,"private for profit",515,"minimally difficult",NA,NA,"phoenix","AZ",NA,NA,NA,NA,NA,NA,NA
"devry university pomona",17512,17512,"private for profit",784,"minimally difficult",NA,NA,"pomona","CA",NA,NA,NA,NA,NA,NA,NA
"westmont college",44044,44044,"private",1298,"moderately difficult",0.83,"2001","santa barbara","CA",NA,NA,NA,NA,NA,NA,NA
"united states air force academy",NA,NA,"public",4237,"most difficult",0.15,"9894","usaf academy","CO",NA,NA,NA,NA,NA,NA,NA
"devry university irving",17512,17512,"private for profit",403,"minimally difficult",NA,NA,"irving","TX",NA,NA,NA,NA,NA,NA,NA
"oklahoma christian university",21670,21670,"private",1974,"moderately difficult",0.61,"2256","oklahoma city","OK",NA,NA,NA,NA,NA,NA,NA
"houston baptist university",31730,31730,"private",2332,"moderately difficult",0.35,"15256","houston","TX",NA,NA,NA,NA,NA,NA,NA
"texas a&m university kingsville",8462,20912,"public",6811,"moderately difficult",0.82,"7373","kingsville","TX",NA,NA,NA,NA,NA,NA,NA
"university of alaska fairbanks",7518,22908,"public",7239,"minimally difficult",0.73,"1557","fairbanks","AK",NA,NA,NA,NA,NA,NA,NA
"california institute of technology",49908,49908,"private",979,"most difficult",0.08,"6855","pasadena","CA","California",75500,123000,NA,104000,161000,NA
"university of utah",8824,28067,"public",23789,"moderately difficult",0.76,"14308","salt lake city","UT","Western",45400,83200,43000,58400,116000,148000
"university of north texas",10905,23355,"public",31209,"moderately difficult",0.72,"16826","denton","TX",NA,NA,NA,NA,NA,NA,NA
"san francisco conservatory of music",44810,44810,"private",188,NA,NA,NA,"san francisco","CA",NA,NA,NA,NA,NA,NA,NA
"university of hawaii west oahu",7440,20400,"public",2692,"moderately difficult",0.7,"892","kapolei","HI",NA,NA,NA,NA,NA,NA,NA
"valley city state university",7406,16579,"public",1295,"noncompetitive",0.98,"372","valley city","ND",NA,NA,NA,NA,NA,NA,NA
"academy of art university",26490,26490,"private for profit",8303,"noncompetitive",1,"2761","san francisco","CA",NA,NA,NA,NA,NA,NA,NA
"holy names university",38188,38188,"private",526,"moderately difficult",0.49,"972","oakland","CA",NA,NA,NA,NA,NA,NA,NA
"university of wyoming",5217,16827,"public",10045,"moderately difficult",0.96,"4657","laramie","WY","Western",44500,78700,41500,54000,105000,145000
"washington state university",10078,24504,"public",17716,"moderately difficult",0.73,"21410","pullman","WA","Western",45300,84700,43600,59000,113000,162000
"claremont mckenna college",52825,52825,"private",1347,"most difficult",0.09,"6342","claremont","CA",NA,NA,NA,NA,NA,NA,NA
"oregon institute of technology",9541,26831,"public",3881,"moderately difficult",0.93,"713","klamath falls","OR",NA,NA,NA,NA,NA,NA,NA
"prescott college",30501,30501,"private",356,"moderately difficult",0.8,"167","prescott","AZ",NA,NA,NA,NA,NA,NA,NA
"weber state university",5712,15260,"public",26112,"noncompetitive",1,"6199","ogden","UT",NA,NA,NA,NA,NA,NA,NA
"alliant international university",17640,17640,"private",163,"minimally difficult",NA,NA,"san diego","CA",NA,NA,NA,NA,NA,NA,NA
"university of sioux falls",27980,27980,"private",1243,"moderately difficult",0.97,"645","sioux falls","SD",NA,NA,NA,NA,NA,NA,NA
"fort hays state university",5008,14831,"public",11831,NA,NA,NA,"hays","KS",NA,NA,NA,NA,NA,NA,NA
"bethel college",27920,27920,"private",1388,"minimally difficult",0.98,"1168","mishawaka","IN",NA,NA,NA,NA,NA,NA,NA
"bethel college",27920,27920,"private",460,"moderately difficult",0.56,"770","north newton","KS",NA,NA,NA,NA,NA,NA,NA
"st. edward's university",43300,43300,"private",4056,"moderately difficult",0.74,"6046","austin","TX",NA,NA,NA,NA,NA,NA,NA
"simpson university",27700,27700,"private",790,"moderately difficult",0.52,"627","redding","CA",NA,NA,NA,NA,NA,NA,NA
"linfield college",41612,41612,"private",1632,"moderately difficult",0.81,"2296","mcminnville","OR",NA,NA,NA,NA,NA,NA,NA
"otis college of art & design",43270,43270,"private",1032,"moderately difficult",0.46,"1584","los angeles","CA",NA,NA,NA,NA,NA,NA,NA
"national american university rapid city",17175,17175,"private for profit",481,"noncompetitive",NA,NA,"rapid city","SD",NA,NA,NA,NA,NA,NA,NA
"western state colorado university",9802,21274,"public",2495,"moderately difficult",0.92,"2191","gunnison","CO",NA,NA,NA,NA,NA,NA,NA
"university of california irvine",15516,43530,"public",27331,"very difficult",0.41,"77810","irvine","CA","California",48300,96700,47800,66000,123000,172000
"rice university",45608,45608,"private",3893,"most difficult",0.15,"18236","houston","TX","Southern",64000,110000,55900,82100,141000,216000
"gonzaga university",41330,41330,"private",5160,"moderately difficult",0.67,"7324","spokane","WA","Western",44900,76000,47000,57400,103000,138000
"university of nevada las vegas",7430,21618,"public",24714,"moderately difficult",0.83,"8533","las vegas","NV","Western",45200,71600,39000,52400,1e+05,128000
"cogswell polytechnical college",19648,19648,"private for profit",656,"moderately difficult",0.83,"281","san jose","CA",NA,NA,NA,NA,NA,NA,NA
"university of north dakota",8447,20324,"public",11255,"minimally difficult",0.84,"5144","grand forks","ND","Midwestern",44000,80600,43400,56400,111000,157000
"thomas aquinas college",24500,24500,"private",389,"very difficult",0.74,"193","santa paula","CA","California",41500,67500,NA,44600,93100,NA
"american jewish university",30938,30938,"private",112,"minimally difficult",0.61,"41","bel air","CA",NA,NA,NA,NA,NA,NA,NA
"university of science & arts of oklahoma",7200,17550,"public",888,"moderately difficult",0.66,"706","chickasha","OK",NA,NA,NA,NA,NA,NA,NA
"university of texas arlington",9952,25152,"public",29883,"moderately difficult",0.61,"10245","arlington","TX","Southern",45400,80800,46400,61200,106000,138000
"texas lutheran university",29960,29960,"private",1283,NA,NA,NA,"seguin","TX",NA,NA,NA,NA,NA,NA,NA
"whitman college",49780,49780,"private",1493,"very difficult",0.51,"3749","walla walla","WA","Western",43500,80100,NA,64800,111000,NA
"university of arizona",11877,35307,"public",34072,"moderately difficult",0.79,"36166","tucson","AZ","Western",47500,86100,44800,61700,117000,160000
"southern california institute of architecture",43800,43800,"private",255,"moderately difficult",0.73,"214","los angeles","CA",NA,NA,NA,NA,NA,NA,NA
"kansas state university",10135,25492,"public",19472,"minimally difficult",0.94,"9018","manhattan","KS","Midwestern",43300,79000,37200,54100,106000,138000
"university of st. mary",27720,27720,"private",837,"moderately difficult",0.49,"888","leavenworth","KS",NA,NA,NA,NA,NA,NA,NA
"university of la verne",41450,41450,"private",2809,"moderately difficult",0.48,"8072","la verne","CA",NA,NA,NA,NA,NA,NA,NA
"colorado state university",11519,29027,"public",25688,"moderately difficult",0.78,"21759","fort collins","CO","Western",44800,79000,43800,57100,112000,150000
"university of oklahoma",11538,26919,"public",21609,"moderately difficult",0.7,"14522","norman","OK","Southern",44700,82900,41200,60300,114000,167000
"university of tulsa",41459,41459,"private",3406,"very difficult",0.37,"8089","tulsa","OK","Southern",42400,88700,42300,60300,120000,197000
"north dakota state university",8546,20572,"public",12010,"moderately difficult",0.93,"5128","fargo","ND","Midwestern",45100,77800,39000,55800,1e+05,123000
"oklahoma city university",30726,30726,"private",1764,NA,NA,NA,"oklahoma city","OK","Southern",40000,64300,NA,45400,80600,NA
"point loma nazarene university",34600,34600,"private",3053,"moderately difficult",0.69,"3162","san diego","CA",NA,NA,NA,NA,NA,NA,NA
"loyola marymount university",46386,46386,"private",6261,NA,NA,NA,"los angeles","CA",NA,NA,NA,NA,NA,NA,NA
"trinity university",41344,41344,"private",2334,"very difficult",0.27,"7255","san antonio","TX",NA,NA,NA,NA,NA,NA,NA
"university of oregon",11571,34611,"public",20047,"moderately difficult",0.78,"21821","eugene","OR","Western",42200,78400,38100,56200,117000,186000
"pacific university",42594,42594,"private",1924,"moderately difficult",0.79,"3004","forest grove","OR",NA,NA,NA,NA,NA,NA,NA
"walla walla university",27495,27495,"private",1700,"moderately difficult",NA,NA,"college place","WA",NA,NA,NA,NA,NA,NA,NA
"university of houston",11104,26554,"public",35871,"moderately difficult",0.59,"19860","houston","TX","Southern",46000,79900,42000,56200,106000,141000
"texas a&m university",10403,37154,"public",50735,"moderately difficult",0.66,"35494","college station","TX","Southern",49700,96100,51100,71300,131000,171000
"patten university",3432,3432,"private",994,"noncompetitive",NA,NA,"oakland","CA",NA,NA,NA,NA,NA,NA,NA
"new mexico highlands university",5954,9288,"public",2181,"minimally difficult",1,"1158","las vegas","NM",NA,NA,NA,NA,NA,NA,NA
"university of portland",44026,44026,"private",3770,"moderately difficult",0.62,"11202","portland","OR",NA,NA,NA,NA,NA,NA,NA
"pittsburg state university",7100,18152,"public",5905,"minimally difficult",0.87,"2503","pittsburg","KS","Midwestern",40400,58200,25600,46000,84600,117000
"university of washington",10974,35538,"public",30933,"very difficult",0.45,"43517","seattle","WA","Western",48800,85300,47000,59800,115000,149000
"reed college",54200,54200,"private",1410,"very difficult",0.31,"5705","portland","OR","Western",40500,81100,NA,67400,101000,NA
"southwestern adventist university",20732,20732,"private",789,"moderately difficult",0.5,"1551","keene","TX",NA,NA,NA,NA,NA,NA,NA
"st. mary's university",29300,29300,"private",2309,"moderately difficult",0.55,"5832","san antonio","TX",NA,NA,NA,NA,NA,NA,NA
